Year_N,Age_of_Driver_N,Age_of_Vehicle_N,Accident_Area_Type_C,On_road_object_hit_C,Off_road_object_hit _C,Junction_Location_C,Car_Make_C,Driver_Sex_C,Vehicle_Manoeuvre_C,Vehicle_Type_C,Point_of_Impact_C,Cost_of_Incident_N,Weeks_to_Repair_N
2005,29,3,Urban area,Kerb,Bus stop or bus shelter,Approaching junction or waiting/parked at junction approach,RENAULT,Male,Going ahead other,Car,Front,560,2
2005,67,12,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,BMW,Female,Going ahead other,Car,Offside,128,5
2005,18,4,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,RENAULT,Male,Turning right,Van / Goods ,Nearside,488,0
2005,45,9,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,BMW,Male,Going ahead other,Car,Offside,177,10
2005,75,1,Urban area,Bollard or refuge,Other permanent object,Mid Junction - on roundabout or on main road,RENAULT,Male,Going ahead other,Car,Offside,223,8
2005,17,15,Urban area,Kerb,Lamp post,Cleared junction or waiting/parked at junction exit,ROVER,Male,Going ahead other,Car,Front,782,8
2005,24,5,Urban area,Kerb,Road sign or traffic signal,Not at or within 20 metres of junction,NISSAN,Female,Going ahead right-hand bend,Car,Front,317,2
2005,39,13,Urban area,Bollard or refuge,Lamp post,Not at or within 20 metres of junction,VOLVO,Male,Going ahead other,Car,Front,478,7
2005,38,1,Urban area,Open door of vehicle,Near/Offside crash barrier,Entering roundabout,FIAT,Male,Going ahead other,Car,Did not impact,254,10
2005,33,7,Urban area,Kerb,Other permanent object,Approaching junction or waiting/parked at junction approach,ROVER,Male,Going ahead right-hand bend,Car,Nearside,713,4
2005,66,7,Urban area,Parked vehicle,Other permanent object,Mid Junction - on roundabout or on main road,FIAT,Female,Going ahead other,Car,Nearside,358,12
2005,18,15,Urban area,Kerb,Lamp post,Cleared junction or waiting/parked at junction exit,NISSAN,Female,Going ahead left-hand bend,Car,Nearside,386,10
2005,48,5,Urban area,Kerb,Near/Offside crash barrier,Not at or within 20 metres of junction,VOLKSWAGEN,Male,Going ahead other,Car,Offside,554,2
2005,25,8,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,VOLVO,Female,Going ahead other,Car,Front,734,3
2005,78,3,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,PEUGEOT,Male,Turning right,Car,Front,291,7
2005,40,8,Urban area,Kerb,Road sign or traffic signal,Mid Junction - on roundabout or on main road,FORD,Female,Going ahead other,Car,Front,297,0
2005,54,7,Small town,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,VOLVO,Male,Going ahead other,Car,Front,696,1
2005,65,6,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,FIAT,Female,Going ahead other,Car,Nearside,127,8
2005,59,4,Urban area,Bollard or refuge,Other permanent object,Mid Junction - on roundabout or on main road,FORD,Male,U-turn,Van / Goods ,Offside,218,9
2005,21,1,Urban area,Kerb,Bus stop or bus shelter,Not at or within 20 metres of junction,FORD,Female,Going ahead other,Car,Nearside,556,11
2005,36,6,Urban area,Bollard or refuge,Central crash barrier,Not at or within 20 metres of junction,AUDI,Male,Going ahead left-hand bend,Car,Nearside,729,6
2005,32,3,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,TOYOTA,Male,Going ahead other,Car,Nearside,203,4
2005,37,6,Urban area,Bollard or refuge,Other permanent object,Leaving roundabout,NISSAN,Male,Turning right,Van / Goods ,Front,456,0
2005,26,1,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,FORD,Male,Going ahead other,Van / Goods ,Front,742,9
2005,33,1,Urban area,Kerb,Road sign or traffic signal,Mid Junction - on roundabout or on main road,HONDA,Female,Going ahead other,Car,Front,765,8
2005,60,10,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,HYUNDAI,Male,Going ahead left-hand bend,Car,Nearside,442,9
2005,23,5,Urban area,Bollard or refuge,Tree,Not at or within 20 metres of junction,HONDA,Male,Going ahead other,Car,Front,352,10
2005,46,7,Urban area,Kerb,Tree,Mid Junction - on roundabout or on main road,RENAULT,Male,Going ahead other,Car,Front,526,10
2005,38,6,Urban area,Kerb,Telegraph or electricity pole,Not at or within 20 metres of junction,VOLVO,Male,Going ahead other,Car,Front,380,3
2005,17,7,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,MERCEDES,Male,Turning right,Car,Front,230,4
2005,22,3,Urban area,Kerb,Tree,Not at or within 20 metres of junction,PEUGEOT,Female,Going ahead left-hand bend,Car,Did not impact,648,2
2005,30,11,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,MERCEDES,Female,Turning right,Car,Front,169,12
2005,20,16,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,SAAB,Male,Going ahead other,Car,Front,513,3
2005,23,13,Urban area,Kerb,Near/Offside crash barrier,Leaving roundabout,ROVER,Female,Going ahead other,Car,Front,220,9
2005,38,8,Urban area,Kerb,Tree,Not at or within 20 metres of junction,RENAULT,Female,Going ahead other,Car,Front,514,2
2005,41,1,Urban area,Parked vehicle,Road sign or traffic signal,Not at or within 20 metres of junction,PEUGEOT,Male,Going ahead left-hand bend,Car,Front,508,6
2005,56,2,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,MERCEDES,Male,Going ahead other,Car,Front,221,10
2005,66,6,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,HONDA,Male,Going ahead other,Car,Front,360,2
2005,54,8,Urban area,Kerb,Other permanent object,Approaching junction or waiting/parked at junction approach,FORD,Female,Going ahead other,Car,Front,258,11
2005,24,1,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,RENAULT,Male,Going ahead right-hand bend,Car,Nearside,137,1
2005,32,4,Urban area,Kerb,Near/Offside crash barrier,Not at or within 20 metres of junction,FIAT,Male,Going ahead other,Car,Front,548,7
2005,69,15,Urban area,Kerb,Road sign or traffic signal,Approaching junction or waiting/parked at junction approach,HONDA,Male,Going ahead other,Car,Offside,611,5
2005,23,9,Urban area,Kerb,Tree,Mid Junction - on roundabout or on main road,MAZDA,Female,Overtaking moving vehicle - offside,Car,Nearside,405,12
2005,47,5,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,HONDA,Female,Going ahead right-hand bend,Car,Front,694,9
2005,65,6,Urban area,Kerb,Entered ditch,Not at or within 20 metres of junction,PEUGEOT,Male,Going ahead left-hand bend,Car,Front,559,10
2005,22,5,Urban area,Kerb,Near/Offside crash barrier,Not at or within 20 metres of junction,TOYOTA,Female,Going ahead other,Car,Front,337,1
2005,27,4,Urban area,Other object,Central crash barrier,Not at or within 20 metres of junction,KAWASAKI,Male,Going ahead other,Motorcycle ,Front,398,3
2005,37,7,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,NISSAN,Female,Turning right,Car,Did not impact,788,9
2005,25,12,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,BMW,Female,Going ahead other,Car,Front,238,3
2005,41,8,Urban area,Kerb,Bus stop or bus shelter,Approaching junction or waiting/parked at junction approach,VOLVO,Male,Going ahead other,Car,Front,175,10
2005,29,2,Urban area,Kerb,Other permanent object,Cleared junction or waiting/parked at junction exit,FIAT,Male,Going ahead other,Car,Front,800,6
2005,61,8,Urban area,Kerb,Tree,Not at or within 20 metres of junction,PEUGEOT,Male,Reversing,Car,Back,389,2
2005,78,7,Urban area,Parked vehicle,Lamp post,Mid Junction - on roundabout or on main road,FORD,Female,Going ahead right-hand bend,Car,Nearside,738,2
2005,47,4,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,MERCEDES,Female,Turning left,Car,Front,627,11
2005,45,7,Urban area,Other object,Central crash barrier,Not at or within 20 metres of junction,ROVER,Male,Going ahead other,Car,Front,429,11
2005,59,2,Urban area,Parked vehicle,Other permanent object,Not at or within 20 metres of junction,BMW,Male,Going ahead other,Motorcycle ,Front,134,8
2005,73,1,Urban area,Kerb,Near/Offside crash barrier,Not at or within 20 metres of junction,SUZUKI,Male,Going ahead other,Car,Did not impact,671,11
2005,75,6,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,NISSAN,Female,Going ahead other,Car,Offside,155,6
2005,29,2,Urban area,Kerb,Central crash barrier,Not at or within 20 metres of junction,NISSAN,Female,Going ahead other,Car,Offside,642,3
2005,18,4,Urban area,Kerb,Near/Offside crash barrier,Cleared junction or waiting/parked at junction exit,NISSAN,Male,Going ahead other,Car,Nearside,451,11
2005,21,8,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,RENAULT,Male,Going ahead other,Car,Front,401,1
2005,18,17,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,NISSAN,Female,Going ahead other,Car,Offside,253,8
2005,27,16,Urban area,Kerb,Tree,Not at or within 20 metres of junction,NISSAN,Female,Going ahead other,Car,Front,221,10
2005,62,7,Urban area,Kerb,Near/Offside crash barrier,Leaving roundabout,MERCEDES,Female,Going ahead left-hand bend,Car,Front,464,9
2005,77,4,Urban area,Kerb,Tree,Mid Junction - on roundabout or on main road,AUDI,Female,Going ahead other,Car,Front,200,7
2005,72,2,Urban area,Kerb,Lamp post,Approaching junction or waiting/parked at junction approach,TOYOTA,Female,Going ahead other,Car,Nearside,532,5
2005,64,8,Urban area,Kerb,Central crash barrier,Not at or within 20 metres of junction,PEUGEOT,Male,Going ahead other,Car,Front,793,4
2005,60,8,Urban area,Kerb,Central crash barrier,Not at or within 20 metres of junction,FIAT,Female,Going ahead other,Car,Did not impact,644,7
2005,53,2,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,FIAT,Female,Going ahead other,Car,Did not impact,760,7
2005,53,6,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,HONDA,Male,Going ahead other,Motorcycle ,Did not impact,136,1
2005,57,7,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,MAZDA,Male,Going ahead other,Car,Did not impact,448,12
2005,40,12,Urban area,Kerb,Road sign or traffic signal,Approaching junction or waiting/parked at junction approach,NISSAN,Female,Going ahead right-hand bend,Car,Did not impact,200,0
2005,24,5,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,PEUGEOT,Male,Turning right,Car,Offside,307,8
2005,70,3,Urban area,Parked vehicle,Other permanent object,Not at or within 20 metres of junction,FIAT,Male,Going ahead other,Car,Did not impact,609,1
2005,18,1,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,VOLKSWAGEN,Male,Going ahead right-hand bend,Car,Did not impact,480,1
2005,70,8,Urban area,Kerb,Road sign or traffic signal,Mid Junction - on roundabout or on main road,VOLKSWAGEN,Male,Going ahead other,Car,Did not impact,677,2
2005,63,1,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,MERCEDES,Male,Going ahead other,Car,Did not impact,483,6
2005,21,9,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,FORD,Male,Going ahead other,Car,Did not impact,725,8
2005,22,6,Urban area,Kerb,Central crash barrier,Not at or within 20 metres of junction,VOLKSWAGEN,Male,Going ahead other,Car,Did not impact,538,12
2005,50,5,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,BMW,Male,Going ahead other,Car,Did not impact,705,0
2005,76,2,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,NISSAN,Female,Going ahead left-hand bend,Car,Did not impact,332,1
2005,32,3,Urban area,Kerb,Entered ditch,Not at or within 20 metres of junction,VOLVO,Male,Going ahead other,Car,Did not impact,629,11
2005,64,14,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,ROVER,Male,Going ahead other,Car,Did not impact,248,9
2005,73,12,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,VOLVO,Male,Turning left,Car,Did not impact,186,7
2005,44,10,Urban area,Kerb,Tree,Not at or within 20 metres of junction,RENAULT,Male,Going ahead other,Car,Offside,720,5
2005,23,10,Urban area,Kerb,Bus stop or bus shelter,Not at or within 20 metres of junction,ROVER,Male,Going ahead other,Car,Nearside,539,5
2005,37,4,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,CITROEN,Female,Going ahead other,Car,Front,281,9
2005,40,16,Urban area,Bollard or refuge,Lamp post,Mid Junction - on roundabout or on main road,VOLKSWAGEN,Female,Going ahead right-hand bend,Car,Nearside,374,3
2005,32,18,Rural,Bollard or refuge,Lamp post,Not at or within 20 metres of junction,FORD,Male,Going ahead other,Car,Front,690,6
2005,44,6,Urban area,Bollard or refuge,Other permanent object,Mid Junction - on roundabout or on main road,ROVER,Male,Going ahead other,Car,Front,112,4
2005,75,5,Urban area,Bollard or refuge,Other permanent object,Approaching junction or waiting/parked at junction approach,PEUGEOT,Female,Turning left,Car,Front,695,9
2005,57,12,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,PEUGEOT,Male,Going ahead other,Car,Front,606,4
2005,49,10,Urban area,Other object,Near/Offside crash barrier,Approaching junction or waiting/parked at junction approach,MERCEDES,Male,Turning right,Car,Front,471,8
2005,66,1,Urban area,Kerb,Entered ditch,Mid Junction - on roundabout or on main road,RENAULT,Male,Going ahead other,Car,Offside,708,7
2005,65,3,Urban area,Parked vehicle,Other permanent object,Not at or within 20 metres of junction,RENAULT,Male,Going ahead other,Car,Offside,341,7
2005,71,3,Urban area,Kerb,Near/Offside crash barrier,Approaching junction or waiting/parked at junction approach,RENAULT,Female,Changing lane to right,Car,Offside,470,9
2005,58,10,Urban area,Kerb,Lamp post,Approaching junction or waiting/parked at junction approach,VOLVO,Male,Going ahead other,Car,Front,152,9
2005,62,16,Urban area,Kerb,Telegraph or electricity pole,Not at or within 20 metres of junction,JAGUAR,Male,Going ahead other,Car,Front,596,8
2005,18,8,Urban area,Kerb,Other permanent object,Cleared junction or waiting/parked at junction exit,AUDI,Female,Going ahead other,Car,Front,466,8
2005,68,5,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,PEUGEOT,Male,Going ahead other,Car,Nearside,704,2
2005,38,3,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,MERCEDES,Male,Going ahead other,Taxi/Private hire car,Front,460,0
2005,80,4,Urban area,Kerb,Road sign or traffic signal,Not at or within 20 metres of junction,BMW,Male,Going ahead other,Car,Front,760,12
2005,42,15,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,ROVER,Male,Going ahead other,Car,Offside,335,11
2005,24,10,Urban area,Kerb,Other permanent object,Cleared junction or waiting/parked at junction exit,BMW,Male,Going ahead other,Car,Did not impact,134,3
2005,51,5,Urban area,Kerb,Lamp post,Leaving roundabout,FIAT,Male,Going ahead other,Car,Front,757,9
2005,22,4,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,FORD,Male,Going ahead right-hand bend,Car,Nearside,635,4
2005,71,6,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,VOLVO,Male,Going ahead left-hand bend,Car,Offside,413,3
2005,64,4,Urban area,Kerb,Telegraph or electricity pole,Not at or within 20 metres of junction,RENAULT,Male,Going ahead other,Car,Front,699,10
2005,29,5,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,CITROEN,Male,Changing lane to left,Car,Nearside,120,5
2005,41,10,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,FIAT,Female,Going ahead other,Car,Offside,671,1
2005,21,10,Urban area,Kerb,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,FIAT,Female,Going ahead other,Car,Did not impact,200,0
2005,25,11,Urban area,Kerb,Tree,Not at or within 20 metres of junction,FIAT,Female,Going ahead other,Car,Front,254,10
2005,37,10,Urban area,Kerb,Tree,Leaving roundabout,TOYOTA,Female,Going ahead other,Car,Front,223,0
2005,28,7,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,MERCEDES,Male,Overtaking static vehicle - offside,Car,Nearside,121,9
2005,76,5,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,PEUGEOT,Male,Going ahead other,Taxi/Private hire car,Front,522,1
2005,33,5,Urban area,Kerb,Road sign or traffic signal,Mid Junction - on roundabout or on main road,ROVER,Male,Going ahead other,Car,Nearside,504,0
2005,28,17,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,FORD,Male,Going ahead other,Car,Did not impact,337,3
2005,27,8,Urban area,Kerb,Road sign or traffic signal,Not at or within 20 metres of junction,NISSAN,Male,Overtaking moving vehicle - offside,Car,Offside,376,2
2005,25,10,Urban area,Bollard or refuge,Near/Offside crash barrier,Leaving roundabout,FORD,Male,Turning right,Car,Back,796,9
2005,64,6,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,RENAULT,Female,Going ahead right-hand bend,Car,Front,265,8
2005,35,1,Small town,Kerb,Other permanent object,Not at or within 20 metres of junction,LEXUS,Male,Going ahead other,Car,Back,724,12
2005,34,1,Rural,Parked vehicle,Other permanent object,Not at or within 20 metres of junction,SUZUKI,Male,Going ahead right-hand bend,Motorcycle ,Front,500,4
2005,63,13,Small town,Other object,Near/Offside crash barrier,Not at or within 20 metres of junction,SUBARU,Male,Going ahead other,Car,Front,261,9
2005,75,7,Urban area,Bollard or refuge,Central crash barrier,Leaving roundabout,PEUGEOT,Male,Going ahead left-hand bend,Car,Offside,324,11
2005,71,7,Rural,Kerb,Other permanent object,Not at or within 20 metres of junction,NISSAN,Male,Going ahead right-hand bend,Car,Front,234,3
2005,28,13,Small town,Bridge (side),Other permanent object,Not at or within 20 metres of junction,ROVER,Male,Going ahead other,Car,Front,190,0
2005,49,6,Urban area,Kerb,Other permanent object,Entering main road,BMW,Male,Going ahead other,Car,Nearside,368,3
2005,36,12,Urban area,Parked vehicle,Road sign or traffic signal,Approaching junction or waiting/parked at junction approach,PEUGEOT,Female,Slowing or stopping,Car,Front,187,12
2005,27,2,Urban area,Kerb,Road sign or traffic signal,Approaching junction or waiting/parked at junction approach,HONDA,Male,Going ahead other,Motorcycle ,Did not impact,605,3
2005,46,7,Urban area,Kerb,Other permanent object,Cleared junction or waiting/parked at junction exit,RENAULT,Male,Turning left,Car,Offside,420,10
2005,74,8,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,FIAT,Male,Going ahead left-hand bend,Car,Front,675,12
2005,77,5,Urban area,Other object,Road sign or traffic signal,Not at or within 20 metres of junction,RENAULT,Female,Going ahead other,Car,Offside,758,2
2005,20,5,Urban area,Other object,Road sign or traffic signal,Not at or within 20 metres of junction,CITROEN,Male,Turning left,Car,Front,226,9
2005,32,4,Urban area,Kerb,Near/Offside crash barrier,Entering roundabout,FIAT,Female,Going ahead other,Car,Nearside,422,6
2005,51,4,Urban area,Kerb,Tree,Not at or within 20 metres of junction,FORD,Male,Going ahead other,Car,Front,627,11
2005,69,6,Small town,Parked vehicle,Other permanent object,Not at or within 20 metres of junction,HYUNDAI,Male,Moving off,Car,Front,529,4
2005,54,5,Rural,Bollard or refuge,Road sign or traffic signal,Mid Junction - on roundabout or on main road,CITROEN,Male,Overtaking moving vehicle - offside,Car,Offside,210,2
2005,62,14,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,BMW,Male,Turning left,Car,Front,502,1
2005,30,9,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,ROVER,Male,Going ahead right-hand bend,Car,Front,727,3
2005,49,13,Urban area,Central island of roundabout,Road sign or traffic signal,Entering roundabout,ROVER,Male,Changing lane to right,Car,Front,745,4
2005,41,1,Small town,Kerb,Near/Offside crash barrier,Approaching junction or waiting/parked at junction approach,CITROEN,Female,Going ahead left-hand bend,Car,Front,359,12
2005,29,5,Urban area,Kerb,Road sign or traffic signal,Approaching junction or waiting/parked at junction approach,HONDA,Male,Going ahead other,Motorcycle ,Offside,527,6
2005,36,5,Urban area,Kerb,Tree,Not at or within 20 metres of junction,RENAULT,Male,Going ahead left-hand bend,Car,Front,305,4
2005,39,11,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,FORD,Female,Going ahead left-hand bend,Car,Front,249,2
2005,67,6,Small town,Kerb,Tree,Not at or within 20 metres of junction,CITROEN,Male,Going ahead other,Car,Front,715,9
2005,52,6,Urban area,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,FIAT,Male,Going ahead right-hand bend,Car,Offside,645,7
2005,23,3,Urban area,Bollard or refuge,Other permanent object,Mid Junction - on roundabout or on main road,ROVER,Female,Going ahead other,Car,Front,491,11
2005,62,4,Urban area,Central island of roundabout,Road sign or traffic signal,Entering roundabout,ALFA ROMEO,Male,Going ahead other,Car,Front,500,2
2005,23,3,Rural,Kerb,Other permanent object,Mid Junction - on roundabout or on main road,BMW,Male,Going ahead other,Car,Nearside,253,12
2005,54,3,Urban area,Kerb,Tree,Entering from slip road,FORD,Male,Going ahead right-hand bend,Car,Front,299,10
2005,51,3,Urban area,Kerb,Bus stop or bus shelter,Not at or within 20 metres of junction,SUZUKI,Male,Going ahead left-hand bend,Motorcycle ,Offside,763,6
2005,57,5,Urban area,Kerb,Road sign or traffic signal,Not at or within 20 metres of junction,RENAULT,Male,Going ahead other,Car,Front,684,7
2005,38,2,Urban area,Kerb,Submerged in water,Entering roundabout,FORD,Male,Going ahead left-hand bend,Car,Front,755,1
2005,25,10,Urban area,Bollard or refuge,Tree,Approaching junction or waiting/parked at junction approach,FORD,Female,Going ahead other,Car,Front,165,12
2005,65,1,Urban area,Parked vehicle,Road sign or traffic signal,Not at or within 20 metres of junction,CITROEN,Male,Going ahead other,Car,Front,227,7
2005,47,6,Urban area,Kerb,Lamp post,Mid Junction - on roundabout or on main road,CITROEN,Female,Going ahead other,Car,Nearside,798,7
2005,70,12,Urban area,Kerb,Submerged in water,Not at or within 20 metres of junction,ROVER,Male,Going ahead left-hand bend,Car,Offside,307,10
2005,57,4,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,RENAULT,Male,Going ahead right-hand bend,Car,Front,169,10
2005,75,3,Rural,Kerb,Other permanent object,Not at or within 20 metres of junction,FIAT,Male,Going ahead right-hand bend,Car,Nearside,679,2
2005,61,12,Urban area,Bollard or refuge,Other permanent object,Not at or within 20 metres of junction,CITROEN,Male,Going ahead left-hand bend,Car,Front,651,4
2005,24,2,Rural,Kerb,Near/Offside crash barrier,Not at or within 20 metres of junction,FIAT,Female,Going ahead left-hand bend,Car,Front,725,1
2005,55,19,Rural,Any animal (except ridden horse),Other permanent object,Not at or within 20 metres of junction,HONDA,Female,Slowing or stopping,Car,Back,207,12
2005,39,7,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,RENAULT,Male,Going ahead left-hand bend,Car,Offside,562,12
2005,39,5,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,ROVER,Female,Going ahead left-hand bend,Car,Front,146,8
2005,34,7,Urban area,Kerb,Lamp post,Entering from slip road,CITROEN,Female,Changing lane to right,Car,Front,213,2
2005,59,1,Urban area,Parked vehicle,Lamp post,Not at or within 20 metres of junction,HONDA,Female,Going ahead right-hand bend,Motorcycle 125cc and under,Front,345,11
2005,67,10,Urban area,Kerb,Central crash barrier,Mid Junction - on roundabout or on main road,BMW,Male,Going ahead right-hand bend,Car,Nearside,658,12
2005,21,12,Urban area,Central island of roundabout,Entered ditch,Mid Junction - on roundabout or on main road,VOLKSWAGEN,Female,Going ahead right-hand bend,Car,Nearside,527,3
2005,50,1,Urban area,Other object,Near/Offside crash barrier,Not at or within 20 metres of junction,HONDA,Male,Going ahead other,Motorcycle ,Front,632,3
2005,27,7,Urban area,Bollard or refuge,Near/Offside crash barrier,Mid Junction - on roundabout or on main road,NISSAN,Female,Going ahead other,Car,Back,741,10
2005,36,5,Urban area,Kerb,Other permanent object,Leaving main road,RENAULT,Female,Going ahead other,Car,Offside,629,10
2005,31,4,Urban area,Bollard or refuge,Road sign or traffic signal,Cleared junction or waiting/parked at junction exit,PEUGEOT,Male,Going ahead other,Taxi/Private hire car,Front,777,1
2005,58,9,Urban area,Kerb,Near/Offside crash barrier,Not at or within 20 metres of junction,KAWASAKI,Female,Going ahead right-hand bend,Motorcycle ,Front,182,12
2005,20,1,Urban area,Kerb,Other permanent object,Entering main road,TOYOTA,Male,Moving off,Car,Offside,765,4
2005,36,3,Urban area,Kerb,Other permanent object,Not at or within 20 metres of junction,MAZDA,Male,Going ahead other,Car,Nearside,522,8
2005,48,6,Urban area,Kerb,Road sign or traffic signal,Leaving main road,CITROEN,Female,Turning left,Car,Back,512,11
2005,67,2,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,RENAULT,Male,Going ahead left-hand bend,Car,Front,795,11
2005,51,4,Urban area,Bollard or refuge,Other permanent object,Mid Junction - on roundabout or on main road,RENAULT,Female,Going ahead other,Car,Nearside,703,6
2005,49,5,Urban area,Kerb,Lamp post,Not at or within 20 metres of junction,SUZUKI,Male,Going ahead other,Motorcycle ,Front,297,11
2005,38,12,Urban area,Kerb,Telegraph or electricity pole,Cleared junction or waiting/parked at junction exit,RENAULT,Male,Going ahead other,Car,Front,219,0
